Plz;Ort;Longitude;Latitude
01067;"Dresden";51.06;13.7211
01069;"Dresden";51.0396;13.7389
01097;"Dresden";51.0667;13.744
01099;"Dresden";51.0926;13.829
01109;"Dresden";51.1201;13.762
01127;"Dresden";51.0796;13.7333
01129;"Dresden";51.0968;13.7274
01139;"Dresden";51.0806;13.6911
01157;"Dresden";51.0643;13.6708
01159;"Dresden";51.0426;13.7007
01169;"Dresden";51.0403;13.6692
01187;"Dresden";51.0264;13.7027
01189;"Dresden";51.0139;13.7045
01217;"Dresden";51.0171;13.7445
01219;"Dresden";51.0223;13.7671
01237;"Dresden";51.0176;13.7996
01239;"Dresden";51.0027;13.7911
01257;"Dresden";50.9967;13.816
01259;"Dresden";50.9954;13.8504
01277;"Dresden";51.0359;13.7996
01279;"Dresden";51.0263;13.8294
01307;"Dresden";51.0541;13.7726
01309;"Dresden";51.0486;13.7914
01324;"Dresden";51.0658;13.8565
01326;"Dresden";51.0255;13.8605
01445;"Radebeul";51.1136;13.6433
01454;"Radeberg";51.1322;13.9175
01458;"Ottendorf-Okrilla";51.1807;13.8458
01465;"Langebrück";51.1392;13.8529
01468;"Reichenberg";51.1644;13.6881
01471;"Radeburg";51.2078;13.7338
01477;"Arnsdorf bei Dresden";51.092;13.9857
01558;"Großenhain";51.2891;13.5316
01561;"Großenhain";51.2977;13.6356
01587;"Riesa";51.3026;13.2734
01589;"Riesa";51.2932;13.328
01591;"Riesa";51.3186;13.2476
01594;"Riesa";51.2603;13.2926
01609;"Gröditz";51.3933;13.4276
01612;"Nünchritz";51.2971;13.4108
01616;"Strehla";51.3628;13.2335
01619;"Zeithain";51.3693;13.3176
01623;"Lommatzsch";51.1652;13.2974
01640;"Coswig";51.1388;13.5809
01662;"Meißen";51.1625;13.4806
01665;"Meißen";51.1363;13.449
01683;"Nossen";51.0625;13.3392
01689;"Weinböhla";51.1835;13.5635
01705;"Freital";50.9982;13.6383
01723;"Wilsdruff";51.0284;13.5135
01728;"Bannewitz";50.9821;13.7291
01731;"Kreischa";50.9488;13.7597
01734;"Rabenau";50.9501;13.6687
01737;"Tharandt";50.9663;13.5201
01738;"Colmnitz";50.9153;13.5173
01744;"Dippoldiswalde";50.8921;13.6545
01762;"Schmiedeberg";50.8161;13.6178
01768;"Glashütte";50.856;13.7646
01773;"Altenberg";50.7702;13.7228
01774;"Höckendorf";50.8901;13.567
01776;"Hermsdorf/Erzgebirge";50.771;13.663
01778;"Geising";50.7651;13.8426
01796;"Pirna";50.9372;13.9721
01809;"Heidenau";50.9455;13.845
01814;"Bad Schandau";50.9019;14.1966
01816;"Bad Gottleuba";50.8298;13.9656
01819;"Berggießhübel";50.8818;13.9804
01824;"Königstein/Sächsische Schweiz";50.8788;14.0846
01825;"Liebstadt";50.8605;13.8775
01829;"Stadt Wehlen";50.9614;14.0108
01833;"Stolpen";51.0397;14.0608
01844;"Neustadt in Sachsen";51.0358;14.227
01847;"Lohmen";50.9848;14.0186
01848;"Hohnstein";50.9788;14.1438
01855;"Sebnitz";50.9386;14.295
01877;"Bischofswerda";51.1252;14.204
01896;"Pulsnitz";51.1825;14.0122
01900;"Großröhrsdorf";51.1446;14.0338
01904;"Neukirch/Lausitz";51.0804;14.3277
01906;"Bischofswerda";51.1871;14.2077
01909;"Großharthau";51.1086;14.0821
01917;"Kamenz";51.2705;14.1116
01920;"Deutschbaselitz";51.2694;14.1566
01936;"Königsbrück";51.2922;13.9379
01945;"Ruhland";51.4254;13.8797
01968;"Senftenberg";51.5211;14.0255
01979;"Lauchhammer";51.5037;13.7565
01983;"Großräschen";51.5843;14.0517
01987;"Schwarzheide Niederlausitz";51.4828;13.857
01990;"Ortrand";51.3853;13.7347
01993;"Schipkau";51.5107;13.8882
01994;"Annahütte";51.5805;13.9242
01998;"Klettwitz";51.5426;13.8864
02625;"Bautzen";51.1857;14.4366
02627;"Weißenberg";51.187;14.521
02633;"Göda";51.1657;14.3154
02681;"Wilthen";51.0905;14.4171
02689;"Sohland an der Spree";51.0464;14.4329
02692;"Obergurig";51.1335;14.4193
02694;"Großdubrau";51.2635;14.5375
02699;"Königswartha";51.2909;14.3503
02708;"Löbau";51.0904;14.6697
02727;"Neugersdorf";50.9741;14.6128
02730;"Ebersbach";51.0138;14.6114
02733;"Cunewalde";51.0994;14.5282
02736;"Oppach";51.0663;14.517
02739;"Eibau";50.992;14.6551
02742;"Neusalza-Spremberg";51.0314;14.5458
02747;"Herrnhut";51.0102;14.7628
02748;"Bernstadt";51.0474;14.8308
02763;"Zittau";50.9088;14.7868
02779;"Großschönau";50.9022;14.682
02782;"Seifhennersdorf";50.9361;14.6089
02785;"Olbersdorf";50.873;14.7653
02788;"Hirschfelde";50.9616;14.8707
02791;"Niederoderwitz";50.9543;14.7455
02794;"Leutersdorf";50.9476;14.6623
02796;"Jonsdorf";50.8529;14.6936
02797;"Oybin";50.84;14.7556
02799;"Waltersdorf";50.8646;14.6486
02826;"Görlitz";51.1469;14.9842
02827;"Görlitz";51.1317;14.9644
02828;"Görlitz";51.1694;14.9828
02829;"Görlitz";51.1793;14.9314
02894;"Reichenbach/Oberlausitz";51.1586;14.7838
02899;"Görlitz";51.0414;14.9155
02906;"Niesky";51.2969;14.7199
02923;"Niesky";51.303;14.8877
02929;"Rothenburg/Oberlausitz";51.3584;14.9549
02943;"Weißwasser";51.4455;14.6231
